group,score
Group2,40.6099282082557
Group2,35.9530909112554
Group2,41.4020691467885
Group2,52.2624161784805
Group2,89.9627192786457
Group2,47.7858721965279
Group2,77.0199874037879
Group2,65.7688528912642
Group2,47.1590026123465
Group2,11.677449927735
Group2,36.972067061187
Group2,37.7532386715381
Group2,51.1788608190382
Group2,82.5049669416705
Group2,107.326974345777
Group2,88.6895264745942
Group2,46.6712258917764
Group2,6.08681511105906
Group2,40.2805033982064
Group2,52.2301805768324
Group2,71.1253251016859
Group2,74.0631992121068
Group2,67.1077357354116
Group2,15.1181412550133
Group2,71.2410761408339
Group2,38.8360695893194
Group2,54.3700675040314
Group2,51.8637794293434
Group2,60.7041691242626
Group2,50.6168745706535
Group2,8.31312256035843
Group2,68.4123991193361
Group2,59.6506642087419
Group2,43.3587093680444
Group2,52.953612776167
Group2,53.3509661342116
Group2,55.525486714025
Group2,91.0211541494372
Group2,44.5237405266631
Group2,54.2016345971164
Group2,79.2095968267273
Group2,76.354525584423
Group2,78.6315777595089
Group2,35.5632999735111
Group2,100.062068257321
Group2,51.6675217732546
Group2,96.6712961176716
Group2,16.2274328492322
Group2,50.5245896588559
Group2,81.2478642742304
Group2,32.1189453194301
Group2,31.1827757945564
Group2,26.5365324098277
Group2,23.6871680165316
Group2,39.07101167049
Group2,58.2794793239745
Group2,-0.355262448018003
Group2,55.2995108343073
Group2,80.9168761604143
Group2,100.939350456011
Group2,82.5293998050147
Group2,68.919369094899
Group2,6.83174002214175
Group2,34.9623322998305
Group2,41.1988385854346
Group2,67.5880975689224
Group2,47.3582166499056
Group2,18.5337842984957
Group2,92.1108927023529
Group2,72.7847822948991
Group2,55.9357568122756
Group2,80.4527152581453
Group2,16.5306428191257
Group2,66.520507444745
Group2,36.9271905921645
Group2,67.0936380462678
Group2,48.4794511334981
Group2,65.8240178257863
Group2,83.3879403764848
Group2,50.1822522579225
Group2,75.4389659238023
Group2,20.2891491213005
Group2,31.9598889890996
Group2,87.9804427847045
Group2,59.4346993255982
Group2,-1.30557051084325
Group2,15.8990636979406
Group2,44.980474610272
Group2,71.6444851083622
Group2,47.4529186071194
Group2,65.6046868005163
Group2,73.9751344446956
Group2,91.7763707215735
Group2,51.4004183318741
Group2,48.7004523454775
Group2,6.16906602144326
Group2,52.4831898521957
Group2,35.7037485526109
Group2,25.6497604298977
Group2,45.5023442238115
Group2,75.3735793185914
Group2,0.181287782785439
Group2,39.3180178198643
Group2,52.9159320895677
Group2,27.6698107486262
Group2,58.3475735624806
Group2,60.2857480153933
Group2,49.1740960181002
Group2,-11.6474548440007
Group2,114.286453646666
Group2,44.867518563295
Group2,66.2798320396918
Group2,56.8441622759137
Group2,75.6168308704588
Group2,70.4414861593522
Group2,44.7551707192873
Group2,59.4541943052127
Group2,26.3647792219027
Group2,71.423075272483
Group2,38.4740415278911
Group2,110.419333844705
Group2,8.72377760779532
Group2,38.4003189258496
Group2,70.6344965689811
Group2,62.7533136719666
Group2,35.262974037125
Group2,25.0804814448119
Group2,53.6118926177674
Group2,49.6423146708272
Group2,5.24296906839849
Group2,50.8637766783463
Group2,54.7557578923114
Group2,54.368159924546
Group2,23.624573934933
Group2,61.9033319575657
Group2,84.464253423981
Group2,61.4059100794953
Group2,21.6102882406414
Group2,39.1088632577024
Group2,58.6525904888402
Group2,33.8238592170433
Group2,-3.94115837538192
Group2,72.1062705007052
Group2,29.263059709387
Group2,35.6609932307929
Group2,87.5975152251134
Group2,30.6463767598649
Group2,71.1432885047324
Group2,18.4829280295306
Group2,41.1364399231506
Group2,48.161099521588
Group2,20.7837143893911
Group2,34.1312933772773
Group2,49.2789611767921
Group2,66.7673992183483
Group2,8.73633641437227
Group2,41.2561440197183
Group2,68.9101609636371
Group2,36.5297710005602
Group2,55.6822980418236
Group2,62.3057142516108
Group2,56.6958753832921
Group2,66.3314419867845
Group2,46.9322834755655
Group2,39.658087160197
Group2,-16.0787238007245
Group2,47.6764745380132
Group2,60.7571174089997
Group2,63.3849710217037
Group2,36.1180412171687
Group2,94.4875727443787
Group2,57.1606104907206
Group2,53.1578964614721
Group2,81.806669486713
Group2,32.0383444670185
Group2,38.7415344018822
Group2,109.936312001244
Group2,50.2782296805222
Group2,90.8392105352077
Group2,14.0373338771369
Group2,45.2370799489275
Group2,59.4605975909208
Group2,57.5009636301449
Group2,24.8590935122291
